train_loss,train_acc,test_loss,test_acc,train_ce_loss,test_ce_loss,train_info_loss,test_info_loss
1.1796628120192891,0.7415846634373414,1.0381454848523797,0.7837819573785358,0.7310472996819098,0.5897422077070023,4.486155054163985,4.484032727521042
0.9843887331206804,0.7951331616837019,1.0003853715185462,0.7943152488577309,0.535986081969659,0.5545267718362397,4.484026456879201,4.458585950834998
0.9582496150966249,0.8027682059362051,0.978664226059256,0.7993224861358167,0.5100140181598284,0.5344696858062826,4.482355909789635,4.4419453390713395
0.9223437972679307,0.8136361881317895,0.9527371230310407,0.8067624952042133,0.47473669795537365,0.511922115395809,4.476070938784029,4.408150038842497
0.8908764150758453,0.821879750875465,0.9259745036733562,0.8138079418227477,0.44793569719291415,0.48755335544460804,4.429407114908922,4.3842114312895415
0.8757806822427324,0.8260763834086474,0.9191005204258293,0.8164129259530536,0.4339480847975539,0.480012670223569,4.418325912610322,4.3908784451155825
0.8640504724142567,0.8303441414797589,0.9137084794969395,0.8181023508074361,0.42169648900989926,0.4729526872778761,4.423539769044249,4.40755788724998
0.8825164863605373,0.823556281412368,0.9576618142169098,0.8020996826061176,0.4397368545563805,0.5152997838911312,4.427796260673742,4.423620287714334
0.8648842205538129,0.8293377715669001,0.8968280420221132,0.8211912734121586,0.42160344181734466,0.4608701489351947,4.432807733102087,4.359578871521457
0.8407817588999834,0.8370859392940146,0.8943251669406891,0.8228610791391999,0.39920858801332265,0.45854763930727693,4.415731658051346,4.357775209278896
0.8417941059234653,0.8368152106591666,0.8879763373527033,0.8258279271737993,0.4001435170110488,0.4476734726079579,4.4165058251774605,4.403028601202472
0.8286141348727228,0.8408334648591297,0.8890749180111391,0.8258148477555718,0.38763628978339776,0.4486944269517372,4.409778399604309,4.403804846878709
0.8328474402164519,0.8400592125748144,0.8957483994549719,0.8225449931987026,0.38972096822119706,0.45531900451871854,4.431264657742666,4.4042938803804335
0.8253335256450224,0.8426350860246447,0.8785486989494028,0.8287446374385268,0.38229851826663575,0.4389383070941629,4.430350017337084,4.396103836339096
0.8284177133052818,0.8414096946140356,0.879422089149212,0.8276895643681769,0.38511659277985427,0.43938728415503586,4.433011144465432,4.400347976848997
