train_loss,train_acc,test_loss,test_acc
0.7569,0.7348,0.4856,0.8203
0.4524,0.8275,0.3817,0.8545
0.3703,0.8557,0.3221,0.8762
0.3262,0.8704,0.2923,0.8855
0.2986,0.8795,0.2670,0.8932
0.2804,0.8857,0.2568,0.8967
0.2672,0.8901,0.2474,0.9001
0.2576,0.8932,0.2391,0.9019
0.2497,0.8959,0.2342,0.9040
0.2435,0.8979,0.2287,0.9052
0.2383,0.8995,0.2247,0.9062
0.2342,0.9009,0.2219,0.9071
0.2305,0.9021,0.2189,0.9085
0.2270,0.9031,0.2181,0.9086
0.2243,0.9039,0.2145,0.9097
0.2219,0.9045,0.2129,0.9096
0.2191,0.9055,0.2121,0.9099
0.2177,0.9058,0.2099,0.9108
0.2158,0.9064,0.2087,0.9109
0.2138,0.9069,0.2070,0.9107
