x,y,z
2.743,0.048,-0.32
1.29,0.021,-0.163
0.735,-1.325,-0.678
-0.797,-1.359,-0.527
-1.163,-1.185,0.957
-0.627,0.158,1.48
-1.242,1.304,0.658
-0.876,1.144,-0.827
-1.411,-0.205,-1.338
0.656,1.17,-0.978
0.904,0.187,1.324
3.165,-0.693,0.239
3.114,0.924,0.045
1.003,-1.473,-1.733
1.176,-2.162,-0.121
-1.184,-2.316,-0.894
-2.252,-1.227,1.081
-0.744,-2.011,1.545
-0.893,0.276,2.536
-2.332,1.306,0.777
-0.879,2.269,1.031
-1.318,1.961,-1.407
-2.505,-0.229,-1.255
-1.17,-0.325,-2.402
1.041,2.141,-0.637
0.922,1.081,-2.039
1.35,-0.614,1.928
1.295,1.135,1.719
